Fecha,Software y Servicios IT,Sin fines de lucro,Finanzas,Comercio al menudeo,Salud,Transporte y Logística,Medios y comunicación,Bienestar y salud,Bienes raíces,Servicios corporativos,Agricultura,Construcción,Promedio,Bienes de consumo,Hardware y redes,Legal,Manufactura,Energía y minas,Entretenimiento,Diseño,Administración pública,Educación,Recreación y viajes
ene. 20,"1,8","1,6","1,9","1,6","1,6","1,6","1,4","2,5","2,2","1,8","2,8","1,7","1,8","1,5","1,3","2,4","1,6",2,"1,4","2,4","1,7","1,5","1,6"
feb. 20,"1,6","1,3","1,5","1,3","1,4","1,5","1,2","2,3",2,"1,4","2,4","1,4","1,6","1,3","1,1",2,"1,4","1,5","1,1","1,7","1,4","1,6","1,4"
mar. 20,"1,5","1,3","1,4","1,4","1,5","1,3","1,1","2,3","1,9","1,3","2,5","1,3","1,5","1,2","1,1","1,8","1,2","1,3","1,1","1,7","1,2","1,7","1,1"
abr. 20,"0,8","0,7","0,6","0,5","0,9","0,6","0,5","1,2","0,7","0,5","1,5","0,5","0,6","0,5","0,5","0,5","0,5","0,5","0,4","0,6","0,5","0,6","0,2"
may. 20,"0,8","0,7","0,7","0,6","0,9","0,7","0,5","1,1","0,9","0,6","1,7","0,6","0,7","0,5","0,5","0,6","0,5","0,5","0,5","0,6","0,5","0,5","0,3"
jun. 20,1,1,"0,9","0,9",1,"1,1","0,7","1,5","1,4","0,8",2,1,"0,9","0,8","0,7",1,"0,8","0,8","0,6","0,9","0,7","0,6","0,5"
jul. 20,"1,3","1,2","1,1","1,2","1,2","1,4","0,9","1,9","1,9",1,"2,4","1,2","1,2",1,"0,9","1,4",1,1,"0,8","1,4",1,"0,8","0,6"
ago. 20,"1,4","1,4","1,3","1,3","1,3","1,5",1,"2,3","2,1","1,2","2,5","1,4","1,4","1,1",1,"1,8","1,1","1,1","0,9","1,8","1,1","1,4","0,8"
sept. 20,"1,6","1,3","1,4","1,4","1,3","1,6","1,1","2,2",2,"1,3","2,6","1,4","1,4","1,1",1,"1,9","1,3","1,1","0,9","1,6","1,2","1,1","0,9"
oct. 20,"1,8","1,3","1,4","1,6","1,4","1,8","1,2","2,3","2,4","1,4","2,5","1,5","1,5","1,2","1,2","1,9","1,3","1,2",1,"1,7","1,2","0,9",1
nov. 20,"1,7","1,2","1,5","1,6","1,3","1,6","1,1",2,"2,1","1,3","2,3","1,3","1,4","1,2","1,1","1,7","1,3","1,2","0,9","1,5",1,"0,7",1
dic. 20,"1,4","0,9","1,2","1,3","1,1","1,3","0,8","1,9","1,5",1,"1,7",1,"1,1",1,"0,9","1,1",1,"1,1","0,7","0,9","0,8","0,5","1,1"
ene. 21,"1,9","1,6","1,8","1,6","1,7","1,8","1,3","2,8","2,4","1,7","3,1","1,7","1,8","1,5","1,2","2,2","1,6","1,6","1,1","2,4","1,6","1,3","1,2"
feb. 21,"1,8","1,5","1,6","1,6","1,5","1,7","1,3","2,6","2,2","1,5","2,9","1,5","1,6","1,4","1,2","2,3","1,5","1,4","1,1","1,8","1,4","1,4",1
mar. 21,"2,3","1,9","1,9","1,7","1,8","1,9","1,6","3,4","2,7","1,9","3,1","1,7","1,9","1,6","1,4","2,4","1,7","1,6","1,3","1,9","1,6",2,"1,2"
abr. 21,"2,2","1,7","1,9","1,6","1,7","1,8","1,5","2,8","2,3","1,7","2,7","1,5","1,7","1,4","1,2","2,1","1,5","1,6","1,1","1,6","1,3","1,4","1,1"
