Fecha,Fecha_eje,Hombres,Mujeres
Febrero 2020,feb. 20,0,0
Marzo 2020,mar. 20,"-0,01039340115","-0,006696618871"
Abril 2020,abr. 20,"-0,08980608177","-0,09471063428"
Mayo 2020,may. 20,"-0,0967511422","-0,09520061622"
Junio 2020,jun. 20,"-0,1311986606","-0,1530086939"
Julio 2020,jul. 20,"-0,1110660142","-0,1638533783"
Agosto 2020,ago. 20,"-0,09842851392","-0,1471194642"
Septiembre 2020,sept. 20,"-0,08758385351","-0,1287254072"
Octubre 2020,oct. 20,"-0,07241144466","-0,1132364037"
Noviembre 2020,nov. 20,"-0,07041658071","-0,1082513152"
Diciembre 2020,dic. 20,"-0,05003947554","-0,07556064514"
Enero 2021,ene. 21,"-0,05591568081","-0,08882481645"
Febrero 2021,feb. 21,"-0,04749697488","-0,08134884412"
Marzo 2021,mar. 21,"-0,0447","-0,0795"
