Fecha,Fecha_eje,Hombres,Mujeres
Febrero 2020,feb. 20,0,0
Marzo 2020,mar. 20,"-1351218,989","-638550,5244"
Abril 2020,abr. 20,"-11675454,57","-9031053,781"
Mayo 2020,may. 20,"-12578363,77","-9077775,602"
Junio 2020,jun. 20,"-17056795,84","-14590016,78"
Julio 2020,jul. 20,"-14439402,96","-15624102,65"
Agosto 2020,ago. 20,"-12796434,5","-14028454,18"
Septiembre 2020,sept. 20,"-11386548,47","-12274504,17"
Octubre 2020,oct. 20,"-9414023,146","-10797563,12"
Noviembre 2020,nov. 20,"-9154676,086","-10322214,15"
Diciembre 2020,dic. 20,"-6505501,764","-7205022,49"
Enero 2021,ene. 21,"-7269451,893","-8469816,516"
Febrero 2021,feb. 21,"-6174957,882","-7756951,391"
Marzo 2021,mar. 21,"-5816660,55","-7576065,34"
