Fecha,Fecha_eje,8anios,9-12,12+
febrero 2020,feb. 20,"0,04506241288","0,04700615149","0,06722477961"
marzo 2020,mar. 20,"0,04767777813","0,05914361868","0,1346666327"
abril 2020,abr. 20,"0,05982357676","0,08747441058","0,249920472"
mayo 2020,may. 20,"0,06477487713","0,1000947325","0,3209785007"
junio 2020,jun. 20,"0,06569837118","0,1140916214","0,3399832772"
julio 2020,jul. 20,"0,06216988199","0,113787897","0,3463853"
agosto 2020,ago. 20,"0,06271256708","0,1128911455","0,3293119151"
septiembre 2020,sept. 20,"0,06492034789","0,1026867073","0,3098445494"
octubre 2020,oct. 20,"0,06229983465","0,08949945319","0,2795776232"
noviembre 2020,nov. 20,"0,06069259059","0,08466183325","0,2541210847"
diciembre 2020,dic. 20,"0,05547361166","0,08203503591","0,2363050168"
enero 2021,ene. 21,"0,05282814923","0,08215687412","0,2090557518"
febrero 2021,feb. 21,"0,05309327407","0,08183950028","0,2136549366"
