Fecha,Fecha_eje,ciclo_basico,segundo,tercero,tercero_completo
marzo 2020,mar. 20,"0,3","2,1","5,6","12,7"
abril 2020,abr. 20,"0,7","5,2","30,7","58,4"
mayo 2020,may. 20,"0,6","4,4","24,6","53,7"
junio 2020,jun. 20,"0,5","3,5","19,4","44,4"
julio 2020,jul. 20,"0,5","3,1","16,6","37,6"
agosto 2020,ago. 20,"0,5","2,5","12,1","31,7"
septiembre 2020,sept. 20,"0,2","2,5","9,4","25,9"
octubre 2020,oct. 20,"0,4","2,6","11,7","23,9"
noviembre 2020,nov. 20,"0,5","2,8",14,"30,6"
diciembre 2020,dic. 20,"0,3","4,3","17,5","33,5"
