Pais,Pais_eje,Escolaridad,Hombres_total,Mujeres_total,Hombres_formal,Mujeres_formal,Hombres_informal,Mujeres_informal
ARG,Argentina,"[0,8]","-0,08874273168","-0,1474679345","-0,1123842216","0,1347134693","-0,07712641439","-0,2550630269"
ARG,Argentina,"[9,13]","-0,05226673924","-0,1671913679","-0,0008451107409","-0,1182758075","-0,1063845452","-0,2014287601"
ARG,Argentina,14+,"-0,09289323644","-0,01972363997","-0,09267922273","0,05387492694","-0,09328769279","-0,1658646184"
BRA,Brasil,"[0,8]","-0,1818181818","-0,1875739617","-0,1850724178","-0,1518795956","-0,1708699568","-0,2142114034"
BRA,Brasil,"[9,13]","-0,06369426752","-0,109375","-0,1061946903","-0,1222953468","0,03275729784","-0,09125373566"
BRA,Brasil,14+,"0,004321364059",0,"-0,0119847277","-0,01364632441","0,09506846341","0,07224297818"
CHL,Chile,"[0,8]","-0,2577923075","-0,3990786356","-0,2328673885","-0,2768471237","-0,2697499577","-0,4803926946"
CHL,Chile,"[9,13]","-0,08734000006","-0,1762284104","-0,07794515809","-0,161549333","-0,001258790373","-0,1348521296"
CHL,Chile,14+,"0,01896015556","-0,042560914","0,03929771459","0,01342025358","-0,002981913232","-0,1183233692"
COL,Colombia,"[0,8]","-0,194699189","-0,3447604656","-0,3284415889","-0,3877512891","-0,1569205367","-0,3387408799"
COL,Colombia,"[9,13]","-0,1793626215","-0,2706892299","-0,2481935675","-0,2496684749","-0,1110500903","-0,2845961788"
COL,Colombia,14+,"-0,215989825","-0,2450132057","-0,2365106212","-0,2394135848","-0,1423478009","-0,2652106197"
CRI,Costa Rica,"[0,8]","-0,08676140979","-0,2255893831","-0,05744018","-0,1337557938","-0,1486692247","-0,3061938194"
CRI,Costa Rica,"[9,13]","-0,1192106705","-0,2257455895","-0,1288088874","-0,1987863116","-0,06848680145","-0,2846505552"
CRI,Costa Rica,14+,"-0,09373782174","-0,04218382578","-0,07541796664","-0,02313671574","-0,3057094535","-0,258673005"
ECU,Ecuador,"[0,8]","-0,22320022","-0,1721370801","-0,1817720617","-0,1426104188","-0,236869352","-0,1786236326"
ECU,Ecuador,"[9,13]","-0,009190278683","-0,07785243422","-0,1234073061","-0,113577574","0,075347755","-0,06245795981"
ECU,Ecuador,14+,"0,08811393584","0,1461510363","0,01528428211","0,07642825228","0,2418000594","0,3300766129"
MEX,México,"[0,8]","-0,06271968969","-0,1128837912","-0,1055078222","-0,1127588585","-0,0533580769","-0,1129067501"
MEX,México,"[9,13]","-0,02404649518","-0,0771673129","-0,01933847985","-0,01207035823","-0,02714730762","-0,1066489114"
MEX,México,14+,"0,009708737864","0,01546727875","0,01452332259","0,03596354214","0,006226232145","-0,01453841088"
PRY,Paraguay,"[0,8]","0,05003287782","-0,1386850434","-0,07338849767","-0,1542793227","0,06625742769","-0,1375290909"
PRY,Paraguay,"[9,13]","-0,08310465911","0,001700045757","-0,08844509603","0,07477915737","-0,0808529427","-0,01661758427"
PRY,Paraguay,14+,"-0,04776421889","-0,02710958988","-0,04329684438","-0,01716581792","-0,05240998073","-0,03973064378"
