Pais,Pais_eje,Escolaridad,Hombres,Mujeres
ARG,Argentina,"[0,8]","-0,07201361911","-0,07319211521"
ARG,Argentina,"[9,13]","-0,06436941248","-0,07392266361"
ARG,Argentina,14+,"-0,1381713109","-0,1504503073"
BRA,Brasil,"[0,8]","-0,01252917905","-0,00856062349"
BRA,Brasil,"[9,13]","-0,01250878266","-0,004064524659"
BRA,Brasil,14+,"-0,001765663598","-0,002285882565"
CHL,Chile,"[0,8]","-0,04716549139","-0,06102986757"
CHL,Chile,"[9,13]","-0,04644198198","-0,03386354762"
CHL,Chile,14+,"-0,02210668186","0,008949354237"
COL,Colombia,"[0,8]","-0,02639521288","0,01619939805"
COL,Colombia,"[9,13]","-0,01366454699","0,01952730438"
COL,Colombia,14+,"0,005867975832","0,03379284909"
CRI,Costa Rica,"[0,8]","-0,05699640783","0,02455935452"
CRI,Costa Rica,"[9,13]","-0,03346907203","-0,02300099846"
CRI,Costa Rica,14+,"-0,01361180031","-0,01421535868"
ECU,Ecuador,"[0,8]","-0,05811623985","-0,07509050105"
ECU,Ecuador,"[9,13]","-0,05580554116","-0,02689676064"
ECU,Ecuador,14+,"-0,0452034828","-0,02301168407"
MEX,México,"[0,8]","-0,02537157978","-0,004233594719"
MEX,México,"[9,13]","-0,01874371269","-0,01764966807"
MEX,México,14+,"-0,03707979132","-0,01926702059"
PRY,Paraguay,"[0,8]","-0,1433679087","-0,172758645"
PRY,Paraguay,"[9,13]","-0,1624515032","-0,1672543859"
PRY,Paraguay,14+,"-0,1089992436","-0,1088103418"
