Fecha,Fecha_eje,Empleo_Formal,Empleo_Informal
Febrero 2020,feb. 20,0,0
Marzo 2020,mar. 20,-753065,"-2616958,364"
Abril 2020,abr. 20,-4159739,"-20592674,36"
Mayo 2020,may. 20,-6597625,"-22332201,36"
Junio 2020,jun. 20,"-8094095,658","-23154161,75"
Julio 2020,jul. 20,"-8753180,658","-22049422,75"
Agosto 2020,ago. 20,"-8876188,658","-19118971,75"
Septiembre 2020,sept. 20,"-8544875,149","-14754306,45"
Octubre 2020,oct. 20,"-7401044,149","-10703620,45"
Noviembre 2020,nov. 20,"-6615158,149","-9672616,452"
Diciembre 2020,dic. 20,"-6761744,861","-6999444,531"
Enero 2021,ene. 21,"-7048782,393","-8885630,526"
Febrero 2021,feb. 21,"-6496884,079","-7816862,424"
Marzo 2021,mar. 21,"-6298032,709","-7734422,642"
